,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.378405,0.058273,0.369181,0.18031,0.218067,0.289918,0.607615,0.024161,0.32594
Refl_unc,0.00048499,0.000234259,0.000482583,0.000384446,0.000412933,0.000453724,0.000488282,0.000153549,0.000468725
Trans,0.026546,0.001537,0.023736,0.128587,0.179285,0.194575,0.240243,0.075889,0.11946
Trans_unc,0.000160752,3.92E-05,0.000152226,0.000334742,0.000383591,0.000395873,0.000427231,0.000264821,0.000324329
