,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.40176,0.036714,0.39619,0.20043,0.14223,0.27693,0.64107,0.012454,0.34652
Refl_unc,0.00002,0.000006,0.00001,0.00001,0.00001,0.00001,0.00002,3.00E-06,0.00001
Trans,0.017491,0.0008413,0.016992,0.105624,0.10996,0.15031,0.19957,0.040345,0.080613
Trans_unc,0.000004,9.00E-07,2.00E-06,9.00E-06,1.00E-05,1.00E-05,1.00E-05,6.00E-06,7.00E-06
Flux,6.3933,1.9144,6.2957,7.6615,7.2609,9.6048,16.3231,3.2382,7.3217
Flux_unc,0.0002,0.00006,0.0001,0.0002,0.0002,0.0002,0.0006,1.00E-04,0.0002
