,1a-3D-SuiteI-Bench-L10,1b-3D-SuiteI-Bench-L10,1c-3D-SuiteI-Bench-L10,2a-3D-SuiteI-Bench-L10,2b-3D-SuiteI-Bench-L10,2c-3D-SuiteI-Bench-L10,3a-3D-SuiteI-Bench-L10,3b-3D-SuiteI-Bench-L10,3c-3D-SuiteI-Bench-L10
Refl,0.4091,0.0377,0.4059,0.225,0.1616,0.3457,0.675,0.0165,0.3979
Refl_unc,5.00E-04,2.00E-04,5.00E-04,0.001,8.00E-04,5.00E-04,0.001,2.00E-04,7.00E-04
Trans,0.0163,0.00085,0.0164,0.0937,1.19E-01,0.1651,0.1692,4.57E-02,0.086
Trans_unc,1.00E-04,3.00E-05,1.00E-04,4.00E-04,9.00E-04,9.00E-04,9.00E-04,9.00E-04,1.00E-03
Flux,6.328,1.918,6.303,7.57,7.77,10.76,16.38,3.47,7.89
Flux_unc,0.007,0.003,0.008,0.01,0.03,0.03,0.03,3.00E-02,0.03
