,1a-1D-SuiteI-CLS-L10,1b-1D-SuiteI-CLS-L10,1c-1D-SuiteI-CLS-L10,2a-1D-SuiteI-CLS-L10,2b-1D-SuiteI-CLS-L10,2c-1D-SuiteI-CLS-L10,3a-1D-SuiteI-CLS-L10,3b-1D-SuiteI-CLS-L10,3c-1D-SuiteI-CLS-L10
Refl,0.378140,0.058641,0.369530,0.180510,0.218270,0.289620,0.607580,0.024013,0.326130
Refl_unc,0.000020,0.000008,0.000010,0.000010,0.000010,0.000010,0.000020,0.000005,0.000010
Trans,0.026403,0.001545,0.023765,0.128410,0.179000,0.194970,0.240370,0.075700,0.119665
Trans_unc,0.000005,0.000001,0.000003,0.000010,0.000010,0.000010,0.000010,0.000008,0.000009
Flux,6.628800,2.773800,6.913700,7.814000,10.713800,11.344300,16.373800,5.031300,8.470200
Flux_unc,0.000200,0.000200,0.000200,0.000100,0.000500,0.000400,0.000700,0.000500,0.000600
