,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.37814,0.058641,0.36953,0.18051,0.21827,0.28962,0.60758,0.024013,0.32613
Refl_unc,0.00002,0.000008,0.00001,0.00001,0.00001,0.00001,0.00002,0.000005,0.00001
Trans,0.026403,0.001545,0.023765,0.12841,0.179,0.19497,0.24037,0.0757,0.119665
Trans_unc,0.000005,0.000001,0.000003,0.00001,0.00001,0.00001,0.00001,0.000008,0.000009
Flux,6.6288,2.7738,6.9137,7.814,10.7138,11.3443,16.3738,5.0313,8.4702
Flux_unc,0.0002,0.0002,0.0002,0.0001,0.0005,0.0004,0.0007,0.0005,0.0006
