,1a,1b,1c,1d,2a,2b,2c,2d,3a,3b,3c,3d
Refl,0.2478,0.2202,0.3786,0,0.03874,0.6041,0.3625,0,0.03654,0.6288,0.4019,0
Refl_unc,0.0001,0.0001,0.0001,0,0.00006,0.0002,0.0001,0,0.00005,0.0002,0.0002,0
Trans,0.1893,0.10724,0.2048,0.07857,0.1315,0.247,0.1736,0.1103,0.03409,0.1496,0.07677,0.02679
Trans_unc,0.0001,0.00009,0.0001,0.00008,0.0001,0.0001,0.0001,0.0001,0.00006,0.0001,0.00008,0.00005
