,1a,1b,1c,1d,2a,2b,2c,2d,3a,3b,3c,3d
Refl,0.2192,0.1797,0.2896,0,0.03156,0.5746,0.314,0,0.02866,0.5915,0.3421,0
Refl_unc,0.0001,0.0001,0.0001,0,0.00006,0.0002,0.0001,0,0.00005,0.0002,0.0001,0
Trans,0.1811,0.12879,0.1961,0.07827,0.1304,0.2739,0.1691,0.11,0.03361,0.1794,0.07836,0.02679
Trans_unc,0.0001,0.00009,0.0001,0.00007,0.0001,0.0001,0.0001,0.0001,0.00006,0.0001,0.00008,0.00005
