,1a,1b,1c,1d,2a,2b,2c,2d,3a,3b,3c,3d
Refl,0.288,0.2362,0.4324,0,0.04451,0.652,0.4225,0,0.04405,0.6745,0.4633,0
Refl_unc,0.0001,0.0001,0.0001,0,0.00007,0.0002,0.0002,0,0.00006,0.0001,0.0002,0
Trans,0.1974,0.09913,0.1882,0.0782,0.1318,0.2022,0.1559,0.1101,0.03434,0.1169,0.06312,0.0268
Trans_unc,0.0001,0.00009,0.0001,0.00008,0.0001,0.0001,0.0001,0.0001,0.00006,0.0001,0.00008,0.00005
