,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.4197,0.0813,0.4364,0.2365,0.2877,0.4303,0.6872,0.0363,0.441
Refl_unc,0.0005,0.0003,0.0005,0.0005,0.0005,0.0005,0.0005,0.0002,0.0005
Trans,0.0184,0.00161,0.0179,0.099,0.1951,0.1864,0.1673,0.0764,0.1042
Trans_unc,0.0001,0.00004,0.0001,0.0003,0.0004,0.0004,0.0004,0.0003,0.0003
