,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.3996,0.0779,0.407,0.2227,0.2846,0.4012,0.6551,0.0362,0.3993
Refl_unc,0.0005,0.0003,0.0005,0.0004,0.0005,0.0005,0.0005,0.0002,0.0005
Trans,0.0222,0.00171,0.0209,0.1058,0.1956,0.195,0.1974,0.0763,0.1177
Trans_unc,0.0001,0.00004,0.0001,0.0003,0.0004,0.0004,0.0004,0.0003,0.0003
