,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.0246,0.006,0.0001,0.0092,0.0274,-0.0006,0.065,0.0037,0.0037
Refl_unc,0.0003,0.0002,0.0005,0.0003,0.0005,0.0003,0.0004,0.0002,0.0004
Trans,0.0009,0.00027,0.0016,0.0092,0.055,0.0443,0.0302,0.0403,0.0476
Trans_unc,0.0001,0.0004,0.0001,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
