,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.4954,0.0198,0.478,0.4954,0.0196,0.4782,0.7855,0.0021,0.4783
Refl_unc,0.0005,0.0001,0.0005,0.0005,0.0001,0.0005,0.0004,0.00005,0.0005
Trans,0.00473,0.000008,0.00378,0.00487,0.000016,0.00386,0.0668,0.000011,0.00391
Trans_unc,0.00007,0.000003,0.00006,0.00007,0.000004,0.00006,0.0002,0.000003,0.00006
