,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.0246,0.0049,0.0006,0.0823,0.0261,0.003,0.0684,0.003,0.0083
Refl_unc,0.0004,0.0003,0.0003,0.0004,0.0004,0.0003,0.0003,0.0002,0.0004
Trans,0.0003,0.00012,0.0009,0.0079,0.0656,0.0499,0.0308,0.0497,0.0527
Trans_unc,0.0001,0.00004,0.0001,0.0003,0.0004,0.0004,0.0003,0.0003,0.0003
