,1a-SuiteI-Bench,1b-SuiteI-Bench,1c-SuiteI-Bench,2a-SuiteI-Bench,2b-SuiteI-Bench,2c-SuiteI-Bench,3a-SuiteI-Bench,3b-SuiteI-Bench,3c-SuiteI-Bench,1a-SuiteI-CoPS2,1b-SuiteI-CoPS2,1c-SuiteI-CoPS2,2a-SuiteI-CoPS2,2b-SuiteI-CoPS2,2c-SuiteI-CoPS2,3a-SuiteI-CoPS2,3b-SuiteI-CoPS2,3c-SuiteI-CoPS2,1a-SuiteI-CoPS3,1b-SuiteI-CoPS3,1c-SuiteI-CoPS3,2a-SuiteI-CoPS3,2b-SuiteI-CoPS3,2c-SuiteI-CoPS3,3a-SuiteI-CoPS3,3b-SuiteI-CoPS3,3c-SuiteI-CoPS3,1a-SuiteI-CoPS3PO,1b-SuiteI-CoPS3PO,1c-SuiteI-CoPS3PO,2a-SuiteI-CoPS3PO,2b-SuiteI-CoPS3PO,2c-SuiteI-CoPS3PO,3a-SuiteI-CoPS3PO,3b-SuiteI-CoPS3PO,3c-SuiteI-CoPS3PO
Refl,0.02611,0.00486,0.00001,0.0818,0.0266,0.00327,0.06838,0.0025,0.00852,0.0246,0.006,0.0001,0.0092,0.0274,-0.0006,0.065,0.0037,0.0037,0.0246,0.0049,0.0006,0.0823,0.0261,0.003,0.0684,0.003,0.0083,0.0263,0.0049,0,0.0822,0.0267,0.0035,0.0688,0.0023,0.0087
Refl_unc,0,0,0,0,0,0,0,0,0,0.0003,0.0002,0.0005,0.0003,0.0005,0.0003,0.0004,0.0002,0.0004,0.0004,0.0003,0.0003,0.0004,0.0004,0.0003,0.0003,0.0002,0.0004,0.0004,0.0002,0.0003,0.0003,0.0004,0.0003,0.0004,0.0002,0.0005
Trans,0.00023,0.00015,0.00038,0.00787,0.06508,0.04554,0.3028,0.05072,0.05244,0.0009,0.00027,0.0016,0.0092,0.055,0.0443,0.0302,0.0403,0.0476,0.0003,0.00012,0.0009,0.0079,0.0656,0.0499,0.0308,0.0497,0.0527,0.0002,0.00019,0.001,0.0083,0.0651,0.046,0.0306,0.0513,0.0534
Trans_unc,0,0,0,0,0,0,0,0,0,0.0001,0.0004,0.0001,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0001,0.00004,0.0001,0.0003,0.0004,0.0004,0.0003,0.0003,0.0003,0.0001,0.00004,0.0001,0.0003,0.0004,0.0004,0.0003,0.0003,0.0003
