,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.4372,0.0846,0.4785,0.2375,0.2862,0.4332,0.6903,0.036,0.4436
Refl_unc,0.0005,0.0002,0.0004,0.0004,0.0005,0.0005,0.0005,0.0002,0.0005
Trans,0.0148,0.00162,0.016,0.0982,0.1958,0.1871,0.1644,0.0763,0.104
Trans_unc,0.0001,0.00005,0.0001,0.0003,0.0003,0.0004,0.0004,0.0003,0.0003
