,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.4368,0.0849,0.4775,0.2375,0.2865,0.4332,0.6909,0.0363,0.4447
Refl_unc,0.0005,0.0003,0.0005,0.0004,0.0005,0.0005,0.0005,0.0002,0.0005
Trans,0.0149,0.00163,0.0159,0.0983,0.1958,0.187,0.1643,0.0763,0.1039
Trans_unc,0.0001,0.00004,0.0001,0.0003,0.0004,0.0004,0.00004,0.0003,0.0003
