,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.0263,0.0049,0,0.0822,0.0267,0.0035,0.0688,0.0023,0.0087
Refl_unc,0.0004,0.0002,0.0003,0.0003,0.0004,0.0003,0.0004,0.0002,0.0005
Trans,0.0002,0.00019,0.001,0.0083,0.0651,0.046,0.0306,0.0513,0.0534
Trans_unc,0.0001,0.00004,0.0001,0.0003,0.0004,0.0004,0.0003,0.0003,0.0003
