,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.3778,0.0585,0.3691,0.1802,0.2187,0.2894,0.6075,0.024,0.3266
Refl_unc,0.0005,0.0002,0.0005,0.0004,0.0004,0.0005,0.0005,0.0002,0.0005
Trans,0.0262,0.00156,0.0236,0.1284,0.1789,0.1946,0.2409,0.0756,0.1194
Trans_unc,0.0002,0.00004,0.0002,0.0003,0.0004,0.0004,0.0004,0.0003,0.0004
