,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.49533,0.01961,0.4779,0.49533,0.01961,0.4779,0.78543,0.00204,0.4779
Trans,0.00474,0.00001,0.00385,0.00474,0.00001,0.00385,0.06656,0.00001,0.00385
