,1a,1b,1c,1d,2a,2b,2c,2d,3a,3b,3c,3d
NumParticles,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Refl,0.2244,0.1822,0.2833,0.0,0.0308,0.5741,0.3085,0.0,0.0302,0.5947,0.3346,0.0
Refl_unc,0.004172074378586992,0.0038602857641135916,0.004506233639544382,0.0,0.0017278410064164888,0.004945034310946046,0.0046189726661725414,0.0,0.001711458123615909,0.004909745569798501,0.004718740366990443,0.0
Runtime,70.8730001449585,58.605000019073486,95.25099992752075,38.526999950408936,9.134999990463257,25.953999996185303,14.337000131607056,8.026999950408936,28.819000005722046,113.17199993133545,60.25599980354309,23.872999906539917
Trans,0.175,0.1322,0.1986,0.0772,0.1256,0.273,0.1663,0.1092,0.0339,0.1765,0.0801,0.0264
Trans_unc,0.003799861036194539,0.0033872501157036854,0.003989661105855228,0.0026692187008275064,0.0033141457958628822,0.004455231184629014,0.003723683335322456,0.0031190557627084974,0.0018098084265065362,0.0038126406364699886,0.0027146152422749263,0.0016032969332302766
