,1a,1b,1c,1d,2a,2b,2c,2d,3a,3b,3c,3d
Trans,1.1e-05,0.004652,0.003834,8e-06,4e-06,0.066513,0.00385,3e-06,7e-06,0.046249,0.003831,9e-06
Trans_unc,3.3166082071734075e-06,6.804677454783237e-05,6.180051992745906e-05,2.82841722522403e-06,1.99999699999475e-06,0.00024917681055845254,6.192884089970792e-05,1.732049075515472e-06,2.6457433737908146e-06,0.00021002398460431636,6.177642960974077e-05,2.999987999964e-06
Refl,0.01986,0.495686,0.477483,0.0,0.002031,0.786126,0.478448,0.0,0.003824,0.732021,0.478134,0.0
Refl_unc,0.00013951917382782865,0.0004999816390485149,0.0004994929771320457,0.0,4.5020851456598044e-05,0.00041003912039716447,0.0004995355451134192,0.0,6.172018173483317e-05,0.00044290682059034927,0.0004995218989855476,0.0
Runtime,586.8909933567047,2550.111822605133,2248.242155313492,472.6308870315552,156.0675756931305,1413.479694366455,868.4183051586151,293.0041744709015,522.3873200416565,5514.310594558716,2125.25178027153,470.3073742389679
NumParticles,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
