,1a,1b,1c,1d,2a,2b,2c,2d,3a,3b,3c,3d
Trans,7e-06,0.004718,0.003848,1e-05,5e-06,0.066798,0.003722,7e-06,4e-06,0.045754,0.003937,6e-06
Trans_unc,2.6457433737908146e-06,6.852550745339411e-05,6.191281554893727e-05,3.1622634298726608e-06,2.236063505354891e-06,0.000249671963848746,6.0894584522356546e-05,2.6457433737908146e-06,1.99999699999475e-06,0.00020895122671239612,6.262191271834449e-05,2.4494836190450427e-06
Refl,0.019709,0.49497,0.47789,0.0,0.002021,0.786593,0.477322,0.0,0.003607,0.732211,0.477371,0.0
Refl_unc,0.0001389984699181061,0.0004999749484473689,0.0004995111584453318,0.0,4.4910105498847094e-05,0.0004097128509280863,0.0004994856932905665,0.0,5.994992197653926e-05,0.00044280723521330096,0.0004994879156167623,0.0
Runtime,110.99851989746094,212.0466592311859,202.89214754104614,106.15879416465759,107.88739848136902,416.6964898109436,203.56024479866028,101.82644629478455,104.94781708717346,338.1195344924927,201.8175745010376,106.7408561706543
NumParticles,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
