,1a,1b,1c,2a,2b,2c,3a,3b,3c
Trans,0.004844,1.2e-05,0.004012,0.004752,1.1e-05,0.003853,0.067046,1.1e-05,0.003852
Trans_unc,6.943011223194503e-05,3.464082562507424e-06,6.321319365376072e-05,6.87708021286885e-05,3.3166082071734075e-06,6.195287103240841e-05,0.00025010177215465,3.3166082071734075e-06,6.194486204009121e-05
Refl,0.49572,0.019458,0.477862,0.495229,0.019516,0.478426,0.785537,0.001981,0.478198
Refl_unc,0.0004999819312554521,0.0001381282205612065,0.0004995099182860722,0.0004999774870296538,0.00013832984088454987,0.0004995345954574239,0.00041044949762399525,4.4464340949547613e-05,0.0004995246964074173
Runtime,530.4500925540924,150.58263397216797,533.6455602645874,545.1223900318146,152.82396149635315,505.16887521743774,351.2641727924347,78.6641743183136,159.10225176811218
NumParticles,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
