,1a,1b,1c,2a,2b,2c,3a,3b,3c
Trans,0.017434,0.000887,0.017124,0.105917,0.11043,0.150107,0.200447,0.040958,0.081225
Trans_unc,0.000130881903921332,2.9769348619244552e-05,0.00012973351708323283,0.0003077315125392325,0.0003134251319459136,0.0003571764495680197,0.00040033506024224314,0.0001981930410394914,0.000273180478809475
Refl,0.40207,0.036842,0.396361,0.199885,0.143281,0.276588,0.640207,0.012579,0.346046
Refl_unc,0.0004903161791231812,0.0001883738371449245,0.0004891412852522234,0.00039991392412136234,0.0003503593552207188,0.0004473111650107544,0.00047993981653247686,0.00011144855844640245,0.0004757083057740239
Flux,6.401644480002666,1.916514160002124,6.293660120002652,7.658293720003392,7.274559050011706,9.605689170003268,16.31431790002274,3.2657213749586766,7.345650209964598
Flux_unc,0.007177717923275926,0.0019455627627333878,0.007026504352199765,0.007131064606160884,0.006943184600731231,0.008764304953813265,0.01950917706753828,0.004312024140202725,0.00784557692340873
Runtime,9519.44765996933,2709.8892798423767,9218.11949133873,10340.031264066696,9329.80171585083,14040.221007585526,4671.230590581894,889.0448606014252,2071.8631477355957
NumParticles,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
