,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.43634,0.08549,0.47746,0.23723,0.28763,0.43319,0.69109,0.03651,0.44516
Trans,0.01486,0.00166,0.01609,0.09843,0.19553,0.1869,0.1635,0.07678,0.10457
