,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.02611,0.00486,0.00001,0.0818,0.0266,0.00327,0.06838,0.0025,0.00852
Trans,0.00023,0.00015,0.00038,0.00787,0.06508,0.04554,0.03028,0.05072,0.05244
