,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.4092,0.0379,0.4062,0.228,0.1626,0.3474,0.677,0.0166,0.4008
Refl_unc,0.0006,0.0002,0.0005,0.001,0.0009,0.0005,0.001,0.0002,0.0007
Trans,0.0166,0.00102,0.0168,0.095,0.12,0.1656,0.168,0.0462,0.086
Trans_unc,0.0001,0.00003,0.0001,0.0004,0.0009,0.0009,0.001,0.0009,0.001
Flux,6.321,1.925,6.306,7.54,7.77,10.74,16.39,3.44,7.86
Flux_unc,0.008,0.004,0.009,0.01,0.03,0.03,0.03,0.03,0.04
