,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.40683,0.036729,0.40278,0.22066,0.14394,0.3261,0.64806,0.013974,0.36242
Refl_unc,0.00002,0.000006,0.00001,0.00001,0.00001,0.00001,0.00002,0.000004,0.00001
Trans,0.01703,0.001025,0.017054,0.09816,0.11168,0.16385,0.19408,0.044533,0.086946
Trans_unc,0.000004,0.000001,0.000003,0.000009,0.00001,0.00001,0.00001,0.000006,0.000008
Flux,6.344,1.91635,6.3049,7.5601,7.3065,10.4372,16.3182,3.3178,7.523
Flux_unc,0.0002,0.00006,0.0002,0.0002,0.0002,0.0002,0.0006,0.0001,0.0002
