,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.4076,0.037188,0.40399,0.22365,0.15193,0.33558,0.66148,0.015823,0.38437
Refl_unc,0.00002,0.000006,0.00001,0.00001,0.00001,0.00001,0.00002,0.000004,0.00001
Trans,0.016898,0.001028,0.016998,0.097014,0.11572,0.16586,0.18226,0.047299,0.089701
Trans_unc,0.000004,0.000001,0.000003,0.000009,0.00001,0.00001,0.00001,0.000007,0.000008
Flux,6.3368,1.92029,6.3082,7.5504,7.5152,10.601,16.3416,3.4216,7.765
Flux_unc,0.0002,0.00006,0.0002,0.0002,0.0002,0.0002,0.0007,0.0002,0.0002
