,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.406,0.0358,0.409,0.227,0.152,0.347,0.666,0.0143,0.398
Refl_unc,0.002,0.0006,0.002,0.001,0.001,0.002,0.001,0.0004,0.002
Trans,0.0164,0.0009,0.0175,0.0941,0.113,0.162,0.17,0.041,0.0852
Trans_unc,0.0004,0.0001,0.0004,0.0009,0.001,0.001,0.001,0.0006,0.0008
Flux,6.31,1.915,6.36,7.41,7.46,10.74,15.71,3.31,7.82
Flux_unc,0.02,0.006,0.02,0.02,0.02,0.06,0.06,0.01,0.03
