,1a,1b,1c,2a,2b,2c,3a,3b,3c
Refl,0.408,0.0376,0.407,0.217,0.143,0.314,0.654,0.0129,0.374
Refl_unc,0.002,0.0006,0.002,0.001,0.001,0.001,0.002,0.0004,0.002
Trans,0.0167,0.0009,0.0175,0.0995,0.111,0.155,0.185,0.0416,0.0817
Trans_unc,0.0004,0.0001,0.0004,0.0009,0.001,0.001,0.001,0.0006,0.0009
Flux,6.33,1.921,6.36,7.47,7.32,10.08,15.96,3.26,7.53
Flux_unc,0.02,0.006,0.02,0.02,0.02,0.03,0.06,0.01,0.03
